"model_ref","workflow_file","node_label"
"SDXL\controlnet-union-sdxl-1.0\diffusion_pytorch_model.safetensors","png-outputs\ComfyUI_00280_.png","Load ControlNet Model (ControlNetLoader)"
"SDXL\controlnet-union-sdxl-1.0\diffusion_pytorch_model.safetensors","workflows\realvisxlV50LightningOffice50stepsWorks2wheredoesthisgo.json","ControlNetLoader"
"SDXL\controlnet-union-sdxl-1.0\diffusion_pytorch_model.safetensors","workflows\realvisxlV50LightningOffice50stepsWorks2.json","ControlNetLoader"
"SDXL\controlnet-union-sdxl-1.0\diffusion_pytorch_model.safetensors","workflows\realvisxlV50LightningBoysStairsKeepPoseTest.json","ControlNetLoader"
"sdxl\dmd2_sdxl_4step_lora_fp16.safetensors","workflows\nunchaku-Z-image_to_SDXL.json","LoraLoaderModelOnly"
"sdxl\juggernautXL_v9Rdphoto2Lightning.safetensors","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","CheckpointLoaderSimple"
"sdxl\xinsir-controlnet-depth-sdxl-1.0.safetensors","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","ControlNetLoader"
"sdxl\xinsir-controlnet-openpose-sdxl-1.0.safetensors","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","ControlNetLoader"
"sdxl\xinsir-controlnet-tile-sdxl-1.0.safetensors","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","ControlNetLoader"
"sdxl_vae.safetensors","workflows\workflow-basic-sdxl-img2img-workflow-yrUf3Yj2kqSHVbZsS9vy-openart-openart.ai.json","VAELoader"
"sdxl_vae.safetensors","workflows\workflow-basic-sdxl-refiner-workflow-Q6n55PcgIumjDRoPmPHX-openart-openart.ai.json","VAELoader"
"sdxl_vae.safetensors","workflows\workflow-outpainting-with-seam-fix-aO8mb2DFYJlyr7agH7p9-openart-openart.ai.json","VAELoader"
